Reviewer Username,Date of review,Comment
d*****4,2021-04-06 15:22:47,Item arrived in good condition and shipping was excellent. Item legit and authentic. 
a*****0,2021-05-27 21:51:19,"There were some complications with the shipment. Had it delivered after 7 days from ordering but it was a special case. Nevertheless, the seller was super responsive and friendly, able to answer all my outrageous questions xd. The box is a bit scuffed but the mouse’s fine. Overall, amazing mouse."
oscar_chin,2021-05-07 14:57:53,The delivery was very fast and the mouse feels so good. Good value for money.
s*****8,2022-12-24 10:03:19,"Performance:Good

Barang sampai dalam keadaan yang bagus dan barang original"
z*****n,2021-02-04 14:57:49,Excellent delivery time. Mouse works properly with no issues. Would recommend anyone to buy from this vendor.
,2023-04-09 19:52:50,"Performance:great mouse, fast delivery

delivery took only around 40 hours to selangor"
a*****l,2022-06-16 18:54:40,"Sampai laju , kotak pon ok xde rosak2 dlm pon terbaik, mouse ringgan xtry lagi dkt game tpi dri fizikil molek steady."
yensen326,2021-03-20 20:00:16,"This seller deserve 6 stars. Nicely packed and delivered within 4 days from KL to Alor Setar,Kedah. The mouse still working fine so far."
madaadaa,2021-03-18 13:33:11,Overall barang ni memang puas hati dengan dia punya movement smooth je and harga pun murah lagi dari gpro x...cuma delivery je lambat skit ambik masa 5 hari tapi xde complain sgt sbb barang sampai
s*****e,2021-02-17 17:37:57,Shipping can be faster but still ok! Box and item came safely good wrapping. 
i*****8,2021-11-12 12:07:52,"Order on 11/11/2021, received on 12/11/2021. Box a lil bit damaged but mouse is fine. Can connect to GHub software. Can charged properly. Haven't try ingame yet but I think it's a great mouse!"
davidvns,2020-11-27 09:56:40,It is genuine!  Logitech's wireless mouse is the best I have ever used!
a*****e,2022-11-19 00:08:49,wouldve been better if the parcel came with a “fragile” label to ensure safer delivery! :) but thankfully its ok. havent tested it out yet but overall happy with the price and product
mingnee96,2021-10-12 14:48:52,product came in the good condition with protection and fast delivery
zaraksyafiq,2022-12-25 20:55:38,Mouse work perfectly and its so light like its name superlight. Delivery takes only 1 day and already got it after the day i order. Anyways all goods for now 💪🏻
a*****i,2023-09-28 10:59:02,Performance:The product is sleek looking and performing as expected at this price point. Definitely cannot go wrong with Logitech!
i*****d,2021-05-12 14:45:46,"Barang boek dah smpai tpi tula kena brsabar sbb jnt lambat hntr, pape pon satisfied "
qi0727,2021-02-17 12:21:50,Speedy response from seller and speedy delivery. Package is good as well.. what more could you ask for ? Perhaps bit more discount 
moedarwich,2021-01-22 14:02:56,Super fast delivery excellent service by seller i received it in under 24hrs !!! Amazing highly recommended seller thanks 🙏 
mohdfarisnazli,2021-09-03 17:29:39,Really good and best performance mouse ever. Customer service so good and the cheapest price i can bet you. Thank you 😊
faizmadha,2022-11-16 20:36:55,"Performance:very good

Very fast shipping from seller and delivery courier. Literally next day delivery. Superb quality and genuine product. Recommended."
